name,price,size,area,url,monthly_fee,date_sold
Glasfiber­gatan 19,2 500 000 kr,"44 m², 2 rum","Lägenhet, Älvsjö",https://www.booli.se/bostad/4104431,2 829 kr/mån,2022-08-08
Skara­backen 6,7 450 000 kr,"122 m², 5 rum","Lägenhet, Hammarbyhöjden/ Johanneshov",https://www.booli.se/annons/4608859,5 837 kr/mån,2022-06-10
Fastlags­vägen 34,5 100 000 kr,"65 m², 3 rum","Lägenhet, Hägersten",https://www.booli.se/bostad/571466,4 387 kr/mån,2022-08-19
Badstrands­vägen 33,5 300 000 kr,"60 m², 3 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4718507,3 125 kr/mån,2022-08-22
Rusthållar­vägen 151,2 010 000 kr,"27 m², 1 rum","Lägenhet, Bagarmossen",https://www.booli.se/annons/4550144,2 575 kr/mån,2022-03-23
Enskede­vägen 162,7 075 000 kr,"104 m², 4 rum","Lägenhet, Svedmyra",https://www.booli.se/annons/4417459,5 475 kr/mån,2022-03-29
Vänskaps­vägen 42,5 000 000 kr,"71 m², 3 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4681625,4 225 kr/mån,2022-08-20
Lidköpings­vägen 24,3 660 000 kr,"48 m², 2 rum","Lägenhet, Hammarbyhöjden",https://www.booli.se/annons/3884719,2 689 kr/mån,2022-04-06
Horisont­vägen 97,2 600 000 kr,"65 m², 2½ rum","Lägenhet, Skarpnäck",https://www.booli.se/annons/4092361,4 582 kr/mån,2022-05-09
Socken­vägen 369,2 600 000 kr,"40 m², 2 rum","Lägenhet, Gamla Enskede",https://www.booli.se/annons/4010882,2 398 kr/mån,2022-08-13
Råcksta Gårds­väg 21,3 515 000 kr,"76 m², 3½ rum","Lägenhet, Råcksta",https://www.booli.se/annons/4728214,4 317 kr/mån,2022-08-22
Oppunda­vägen 4,2 250 000 kr,"35 m², 1 rum","Lägenhet, Svedmyra",https://www.booli.se/bostad/693710,1 927 kr/mån,2022-04-27
Svartågatan 65,2 075 000 kr,"27 m², 1 rum","Lägenhet, Bagarmossen",https://www.booli.se/annons/3885420,2 461 kr/mån,2022-04-27
Grusås­gränd 10,5 100 000 kr,"103 m², 3 rum","Lägenhet, Enskededalen",https://www.booli.se/annons/4659333,5 113 kr/mån,2022-06-23
Bildhuggar­vägen 23,3 200 000 kr,"49 m², 2 rum","Lägenhet, Globen",https://www.booli.se/annons/4603049,2 879 kr/mån,2022-05-18
Laga­vägen 20,6 220 000 kr,"91½ m², 4 rum","Lägenhet, Bagarmossen",https://www.booli.se/annons/4554522,6 538 kr/mån,2022-04-26
Skönviks­vägen 331,2 350 000 kr,"42½ m², 2 rum","Lägenhet, Stureby",https://www.booli.se/annons/4629739,2 929 kr/mån,2022-06-06
Ruddamms­vägen 4,5 200 000 kr,"50 m², 2 rum","Lägenhet, Norra Djurgården",https://www.booli.se/annons/4730623,2 357 kr/mån,2022-08-22
Fyrskepps­vägen 30,4 000 000 kr,"76 m², 3½ rum","Lägenhet, Kärrtorp",https://www.booli.se/annons/4569886,4 828 kr/mån,2022-06-10
Odelbergs­vägen 21,2 550 000 kr,"35 m², 1 rum","Lägenhet, Enskede Gård",https://www.booli.se/annons/4667891,2 132 kr/mån,2022-06-17
Enskede­vägen 170,6 650 000 kr,"104 m², 4 rum","Lägenhet, Svedmyra",https://www.booli.se/annons/4677179,5 475 kr/mån,2022-06-23
Odelbergs­vägen 21,2 505 000 kr,"35 m², 1 rum","Lägenhet, Enskede Gård",https://www.booli.se/annons/4701561,2 132 kr/mån,2022-07-16
Enskede­vägen 170,3 120 000 kr,"52 m², 2 rum","Lägenhet, Svedmyra",https://www.booli.se/annons/4697676,3 270 kr/mån,2022-08-12
Svartågatan 61,2 425 000 kr,"54 m², 2 rum","Lägenhet, Bagarmossen",https://www.booli.se/annons/4727049,3 870 kr/mån,2022-08-20
Norrtulls­gatan 38,4 610 000 kr,"53 m², 3 rum","Lägenhet, Vasastan",https://www.booli.se/bostad/4263401,3 063 kr/mån,N/A
Sven Rinmans gata 4,3 260 000 kr,"24 m², 1 rum","Lägenhet, Kungsholmen",https://www.booli.se/bostad/758047,1 770 kr/mån,2022-08-19
Bonde­gatan 16D,3 820 000 kr,"39 m², 1 rum","Lägenhet, Södermalm",https://www.booli.se/annons/4717954,1 663 kr/mån,2022-08-20
Pontonjär­gatan 32,6 500 000 kr,"62 m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4681104,2 530 kr/mån,2022-08-23
Jämtlands­gatan 152,2 600 000 kr,"78 m², 3 rum","Lägenhet, Hässelby-Vällingby",https://www.booli.se/bostad/329201,3 413 kr/mån,N/A
Jämtlands­gatan 152,2 600 000 kr,"78 m², 3 rum","Lägenhet, Hässelby-Vällingby",https://www.booli.se/bostad/329201,3 413 kr/mån,N/A
Jämtlands­gatan 152,2 600 000 kr,"78 m², 3 rum","Lägenhet, Hässelby-Vällingby",https://www.booli.se/bostad/329201,3 413 kr/mån,N/A
Jämtlands­gatan 152,2 600 000 kr,"78 m², 3 rum","Lägenhet, Hässelby-Vällingby",https://www.booli.se/bostad/329201,3 413 kr/mån,N/A
Jämtlands­gatan 152,2 600 000 kr,"78 m², 3 rum","Lägenhet, Hässelby-Vällingby",https://www.booli.se/bostad/329201,3 413 kr/mån,N/A
Jämtlands­gatan 152,2 600 000 kr,"78 m², 3 rum","Lägenhet, Hässelby-Vällingby",https://www.booli.se/bostad/329201,3 413 kr/mån,N/A
Valhalla­vägen 155,6 500 000 kr,"67 m², 2½ rum","Lägenhet, Östermalm Nedre Gärdet",https://www.booli.se/bostad/782328,2 667 kr/mån,2022-05-20
Rådmans­gatan 1B,10 850 000 kr,"81 m², 3 rum","Lägenhet, Östermalm",https://www.booli.se/bostad/3865129,2 419 kr/mån,2022-06-10
Norra Stations­gatan 119,5 425 000 kr,"63 m², 3 rum","Lägenhet, Vasastan Birkastan",https://www.booli.se/bostad/684047,3 674 kr/mån,2022-07-06
Drottninghus­gränd 7,2 800 000 kr,"26 m², 1 rum","Lägenhet, Vasastan Norrmalm",https://www.booli.se/bostad/342984,1 529 kr/mån,2022-07-19
